,book
0,1
1,2
2,3
3,5
4,6
5,10
6,11
7,13
8,21
9,24
10,25
11,26
12,27
13,28
14,29
15,30
16,33
17,34
18,50
19,67
20,93
21,98
22,105
23,106
24,112
25,117
26,122
27,231
28,249
29,250
30,264
31,275
32,295
33,304
34,320
35,343
36,348
37,350
38,353
39,355
40,357
41,359
42,360
43,365
44,378
45,386
46,400
47,415
48,424
49,428
50,431
51,432
52,446
53,447
54,449
55,456
56,475
57,597
58,599
59,621
60,629
61,647
62,656
63,662
64,665
65,667
66,668
67,676
68,698
69,703
70,706
71,760
72,771
73,816
74,822
75,823
76,825
77,827
78,830
79,840
80,865
81,870
82,880
83,890
84,900
85,902
86,903
87,930
88,952
89,960
90,968
91,976
92,998
93,1005
94,1032
95,1052
96,1067
97,1078
98,1097
99,1103
100,1110
101,1171
102,1191
103,1192
104,1202
105,1232
106,1241
107,1274
108,1295
109,1301
110,1303
111,1305
112,1307
113,1319
114,1362
115,1371
116,1375
117,1381
118,1420
119,1426
120,1427
121,1428
122,1430
123,1431
124,1519
125,1524
126,1540
127,1554
128,1591
129,1617
130,1618
131,1622
132,1624
133,1625
134,1627
135,1633
136,1635
137,1715
138,1823
139,1824
140,1842
141,1845
142,1846
143,1848
144,1849
145,1852
146,1869
147,1875
148,1885
149,1897
150,1898
151,1911
152,1934
153,1953
154,1990
155,2002
156,2049
157,2050
158,2052
159,2054
160,2067
161,2068
162,2094
163,2095
164,2122
165,2137
166,2152
167,2156
168,2159
169,2165
170,2175
171,2183
172,2187
173,2199
174,2203
175,2255
176,2265
177,2279
178,2368
179,2371
180,2372
181,2373
182,2442
183,2493
184,2517
185,2526
186,2528
187,2530
188,2547
189,2612
190,2615
191,2623
192,2657
193,2666
194,2677
195,2696
196,2715
197,2743
198,2744
199,2748
200,2767
201,2784
202,2794
203,2839
204,2865
205,2872
206,2873
207,2879
208,2880
209,2915
210,2932
211,2956
212,2998
213,3008
214,3028
215,3049
216,3061
217,3087
218,3102
219,3103
220,3109
221,3110
222,3273
223,3291
224,3300
225,3304
226,3368
227,3378
228,3379
229,3381
230,3384
231,3388
232,3412
233,3431
234,3446
235,3447
236,3462
237,3463
238,3464
239,3465
240,3466
241,3467
242,3473
243,3476
244,3478
245,3483
246,3507
247,3559
248,3562
249,3579
250,3581
251,3586
252,3590
253,3636
254,3648
255,3656
256,3679
257,3682
258,3685
259,3686
260,3690
261,3692
262,3698
263,3710
264,3711
265,3717
266,3750
267,3757
268,3758
269,3759
270,3760
271,3762
272,3763
273,3764
274,3805
275,3832
276,3836
277,3858
278,3867
279,3869
280,3872
281,3873
282,3876
283,3882
284,3885
285,3888
286,3895
287,3972
288,3973
289,3974
290,3977
291,3980
292,3985
293,4004
294,4005
295,4006
296,4008
297,4031
298,4035
299,4069
300,4076
301,4099
302,4122
303,4135
304,4136
305,4137
306,4138
307,4143
308,4214
309,4261
310,4264
311,4268
312,4271
313,4325
314,4339
315,4364
316,4373
317,4381
318,4395
319,4406
320,4407
321,4473
322,4477
323,4507
324,4516
325,4530
326,4538
327,4588
328,4591
329,4599
330,4600
331,4625
332,4630
333,4631
334,4633
335,4645
336,4652
337,4656
338,4659
339,4660
340,4671
341,4687
342,4692
343,4701
344,4708
345,4796
346,4799
347,4806
348,4813
349,4820
350,4830
351,4865
352,4866
353,4887
354,4894
355,4898
356,4900
357,4909
358,4912
359,4921
360,4929
361,4934
362,4948
363,4950
364,4952
365,4953
366,4954
367,4955
368,4965
369,4978
370,4979
371,4980
372,4981
373,4982
374,4983
375,4984
376,4985
377,4986
378,4987
379,4989
380,5015
381,5038
382,5043
383,5052
384,5053
385,5055
386,5062
387,5064
388,5084
389,5091
390,5093
391,5094
392,5096
393,5107
394,5113
395,5114
396,5128
397,5129
398,5130
399,5139
400,5148
401,5157
402,5158
403,5159
404,5160
405,5161
406,5166
407,5167
408,5168
409,5171
410,5174
411,5175
412,5176
413,5179
414,5180
415,5181
416,5182
417,5186
418,5187
419,5190
420,5191
421,5196
422,5197
423,5198
424,5203
425,5204
426,5205
427,5211
428,5246
429,5289
430,5296
431,5297
432,5306
433,5308
434,5326
435,5338
436,5344
437,5345
438,5346
439,5347
440,5348
441,5349
442,5350
443,5351
444,5352
445,5354
446,5355
447,5356
448,5357
449,5358
450,5359
451,5360
452,5364
453,5367
454,5368
455,5369
456,5413
457,5439
458,5452
459,5453
460,5454
461,5470
462,5472
463,5479
464,5481
465,5517
466,5526
467,5527
468,5544
469,5548
470,5552
471,5553
472,5559
473,5571
474,5575
475,5659
476,5693
477,5695
478,5697
479,5720
480,5752
481,5755
482,5759
483,5787
484,5797
485,5805
486,5809
487,5826
488,5845
489,5849
490,5872
491,5890
492,5907
493,5932
494,5936
495,5942
496,5946
497,5954
498,6138
499,6149
500,6150
501,6159
502,6185
503,6192
504,6193
505,6194
506,6259
507,6288
508,6294
509,6295
510,6310
511,6319
512,6327
513,6328
514,6334
515,6419
516,6420
517,6422
518,6423
519,6424
520,6425
521,6426
522,6427
523,6440
524,6462
525,6514
526,6520
527,6526
528,6528
529,6530
530,6531
531,6534
532,6537
533,6538
534,6539
535,6541
536,6551
537,6554
538,6572
539,6588
540,6596
541,6613
542,6614
543,6628
544,6656
545,6667
546,6670
547,6678
548,6687
549,6689
550,6690
551,6693
552,6694
553,6697
554,6708
555,6709
556,6748
557,6749
558,6750
559,6751
560,6753
561,6759
562,6819
563,6820
564,6853
565,6854
566,6858
567,6862
568,6867
569,6870
570,6872
571,6882
572,6900
573,6952
574,6969
575,6976
576,7035
577,7036
578,7039
579,7053
580,7058
581,7061
582,7062
583,7069
584,7073
585,7081
586,7082
587,7126
588,7144
589,7184
590,7186
591,7190
592,7194
593,7199
594,7201
595,7214
596,7244
597,7252
598,7329
599,7332
600,7354
601,7389
602,7432
603,7433
604,7437
605,7442
606,7445
607,7455
608,7493
609,7494
610,7510
611,7520
612,7531
613,7572
614,7579
615,7588
616,7603
617,7604
618,7613
619,7624
620,7628
621,7661
622,7663
623,7667
624,7668
625,7669
626,7670
627,7672
628,7673
629,7675
630,7677
631,7679
632,7682
633,7714
634,7723
635,7728
636,7733
637,7742
638,7745
639,7748
640,7763
641,7769
642,7770
643,7779
644,7780
645,7784
646,7785
647,7788
648,7797
649,7805
650,7815
651,7869
652,7882
653,7909
654,7911
655,7926
656,7967
657,7968
658,7973
659,7979
660,7980
661,7981
662,7983
663,7987
664,7993
665,7996
666,7998
667,7999
668,8073
669,8087
670,8088
671,8089
672,8127
673,8155
674,8172
675,8248
676,8252
677,8253
678,8282
679,8337
680,8492
681,8515
682,8600
683,8646
684,8647
685,8648
686,8650
687,8676
688,8680
689,8682
690,8694
691,8695
692,8696
693,8698
694,8725
695,8732
696,8745
697,8765
698,8852
699,8908
700,8909
701,8914
702,8921
703,8948
704,8949
705,8951
706,8952
707,8953
708,8957
709,8960
710,8962
711,8963
712,8964
713,8965
714,8966
715,8967
716,8968
717,9010
718,9013
719,9014
720,9282
721,9298
722,9300
723,9301
724,9302
725,9303
726,9328
727,9355
728,9370
729,9375
730,9416
731,9417
732,9418
733,9419
734,9420
735,9454
736,9475
737,9503
738,9516
739,9517
740,9522
741,9526
742,9530
743,9531
744,9532
745,9534
746,9539
747,9549
748,9555
749,9557
750,9566
751,9567
752,9570
753,9589
754,9590
755,9592
756,9593
757,9594
758,9595
759,9597
760,9598
761,9601
762,9646
763,9648
764,9650
765,9654
766,9712
767,9717
768,9742
769,9762
770,9777
771,9784
772,9791
773,9799
774,9804
775,9809
776,9820
777,9822
778,9827
779,9833
780,9838
781,9844
782,9854
783,9864
784,9865
785,9912
786,9913
787,9914
788,9915
789,9943
