,tag_id,count,tag_name
0,11743,5720,fiction
1,11305,2512,fantasy
2,26138,2119,romance
3,27199,2104,series
4,33114,1835,young-adult
5,20939,1491,mystery
6,32989,1435,ya
7,21689,1261,non-fiction
8,17213,1174,kindle
9,14487,1119,historical-fiction
10,7457,1108,classics
11,8055,1048,contemporary
12,22973,897,paranormal
13,9221,853,default
14,4949,852,book-club
15,26837,850,science-fiction
16,21773,844,nonfiction
17,3389,820,audiobook
18,30358,796,thriller
19,26771,795,sci-fi
20,18045,787,library
21,1642,736,adult
22,1691,649,adventure
23,6953,644,childrens
24,14467,625,historical
25,3392,579,audiobooks
26,14821,568,horror
27,31617,546,urban-fantasy
28,15048,542,humor
29,8517,535,crime
30,6750,531,chick-lit
31,18886,512,magic
32,7404,505,classic
33,18367,503,literature
34,22034,497,novels
35,14552,489,history
36,6857,482,children
37,10197,473,ebook
38,22983,458,paranormal-romance
39,29011,431,supernatural
40,3371,431,audio
41,6888,428,children-s
42,31745,424,vampires
43,6895,418,children-s-books
44,26785,404,sci-fi-fantasy
45,8076,398,contemporary-romance
46,4605,391,biography
47,19733,377,memoir
48,29452,345,teen
49,1659,326,adult-fiction
50,26894,313,scifi
51,13561,302,graphic-novels
52,240,301,1001-books
53,10064,300,dystopian
54,25438,296,realistic-fiction
55,10059,289,dystopia
56,17124,285,kids
57,31723,282,vampire
58,29076,276,suspense
59,6828,271,childhood
60,10210,263,ebooks
61,21387,260,new-adult
62,7778,257,comics
63,19974,248,middle-grade
64,13547,242,graphic-novel
65,27669,232,short-stories
66,23605,229,picture-books
67,23471,227,philosophy
68,20849,218,my-library
69,21989,217,novel
70,26735,212,school
71,32586,204,wish-list
72,18326,204,literary-fiction
73,20926,203,mysteries
74,1416,201,abandoned
75,6960,201,childrens-books
76,26256,197,rory-gilmore-reading-challenge
77,33009,192,ya-fantasy
78,9886,188,drama
79,26816,181,science
80,24526,176,psychology
81,1128,173,5-stars
82,8067,172,contemporary-fiction
83,19742,171,memoirs
84,14361,165,high-fantasy
85,27398,165,sf
86,33012,165,ya-fiction
87,12680,162,funny
88,5751,162,british
89,10644,158,english
90,9638,157,dnf
91,5951,157,business
92,236,156,1001
93,7077,156,christian
94,20994,152,mystery-thriller
95,11370,150,fantasy-sci-fi
96,17129,150,kids-books
97,32130,148,war
98,10731,144,epic-fantasy
99,10825,142,erotica
100,7725,137,comedy
101,25647,136,religion
102,27095,135,self-help
103,23831,133,poetry
104,32345,133,werewolves
105,5051,133,bookclub
106,5090,132,books
